Lead_Origin,Lead Source,Converted,Total_Visits,Total_Time_Website,Page_Views_Per_Visit,Last_Activity,Current_Occupation,Lead_Quality,Activity_Index,Profile_Index,Free_Copy
Landing Page Submission,Google,0,5,232,2.5,Email Opened,Unemployed,4,2,2,No
Landing Page Submission,Direct Traffic,0,2,702,2,Email Opened,Unemployed,3,2,2,Yes
Landing Page Submission,Organic Search,1,5,614,5,Others,Unemployed,2,2,3,Yes
Landing Page Submission,Direct Traffic,0,2,234,1,Others,Unemployed,3,2,3,Yes
Landing Page Submission,Direct Traffic,0,3,245,3,Others,Unemployed,4,2,3,Yes
Landing Page Submission,Organic Search,1,8,1268,4,Email Opened,Unemployed,3,3,3,Yes
Landing Page Submission,Google,0,2,56,2,Others,Unemployed,3,1,2,No
API,Others,0,4,174,2,Others,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,4,1149,2,Email Opened,Unemployed,3,2,3,No
API,Organic Search,0,7,471,2.33,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,3,1010,3,Email Opened,Unemployed,4,2,2,Yes
API,Olark Chat,1,10,1815,3.33,Others,Unemployed,5,2,3,Yes
Landing Page Submission,Direct Traffic,0,2,47,2,Others,Unemployed,3,2,2,Yes
Landing Page Submission,Direct Traffic,1,3,1528,1.5,Email Opened,Unemployed,4,2,2,Yes
Landing Page Submission,Google,1,6,919,6,Email Opened,Unemployed,5,2,3,No
API,Organic Search,0,10,194,5,Others,Unemployed,3,2,2,No
API,Organic Search,0,1,1173,1,Others,Unemployed,3,2,2,No
API,Google,0,2,351,2,Email Opened,Unemployed,4,2,2,No
Landing Page Submission,Direct Traffic,0,3,381,1.5,Page Visited on Website,Unemployed,3,2,3,Yes
Landing Page Submission,Google,0,5,65,5,Others,Unemployed,4,2,3,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Working Professional,2,2,3,No
API,Google,0,1,250,1,Others,Unemployed,3,2,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Working Professional,4,2,3,No
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,3,2,2,No
API,Others,0,4,904,4,Olark Chat Conversation,Unemployed,3,3,2,No
API,Google,0,2,1793,2,Others,Unemployed,3,1,2,No
API,Organic Search,0,5,1841,5,Olark Chat Conversation,Unemployed,3,2,2,No
API,Organic Search,1,8,877,2.67,Others,Unemployed,4,2,2,No
Lead Add Form,Reference,1,0,0,0,Others,Unemployed,5,2,3,No
Landing Page Submission,Organic Search,1,12,1411,6,Email Opened,Unemployed,4,3,2,Yes
API,Organic Search,1,6,385,6,Others,Unemployed,2,2,2,No
API,Organic Search,0,4,342,4,Email Opened,Unemployed,3,2,2,No
API,Google,0,2,78,1,Email Opened,Unemployed,3,2,2,No
API,Organic Search,1,5,1234,1.67,Email Opened,Other,2,3,3,No
API,Organic Search,0,8,14,8,Olark Chat Conversation,Unemployed,1,2,2,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,2,2,No
API,Others,0,4,77,4,Others,Unemployed,3,1,2,No
API,Others,1,3,1299,3,Olark Chat Conversation,Unemployed,3,3,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,5,2,3,No
API,Others,0,2,457,2,Email Opened,Unemployed,3,2,2,No
API,Organic Search,0,5,358,5,Page Visited on Website,Unemployed,3,2,2,No
API,Direct Traffic,0,2,205,2,Olark Chat Conversation,Unemployed,3,1,2,No
Landing Page Submission,Direct Traffic,1,1,1106,1,Others,Unemployed,4,2,2,Yes
Landing Page Submission,Direct Traffic,1,9,1953,1.8,Email Opened,Unemployed,4,2,3,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,4,2,3,No
Landing Page Submission,Direct Traffic,1,2,1587,2,Email Opened,Unemployed,4,2,2,No
Landing Page Submission,Direct Traffic,1,2,1509,2,Email Opened,Unemployed,1,1,3,Yes
API,Organic Search,0,4,331,4,Others,Unemployed,4,1,2,No
Landing Page Submission,Direct Traffic,0,4,187,4,Others,Unemployed,3,2,3,Yes
API,Organic Search,1,3,1407,1.5,Others,Unemployed,4,2,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Working Professional,5,2,3,No
Landing Page Submission,Google,0,1,123,1,Others,Unemployed,4,2,2,No
API,Organic Search,0,1,100,1,Others,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,9,1164,4.5,Email Opened,Unemployed,4,3,2,Yes
Landing Page Submission,Direct Traffic,1,1,1362,1,Others,Unemployed,4,2,2,No
Landing Page Submission,Google,0,2,1816,2,Others,Unemployed,3,2,3,No
Landing Page Submission,Direct Traffic,0,7,74,2.33,Others,Unemployed,3,2,3,No
API,Organic Search,0,13,54,6.5,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,3,66,3,Email Opened,Unemployed,3,2,2,Yes
Landing Page Submission,Organic Search,0,6,135,6,Email Opened,Unemployed,4,2,3,Yes
Landing Page Submission,Organic Search,0,12,28,6,Email Opened,Unemployed,4,2,2,Yes
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,7,116,7,Email Opened,Unemployed,2,2,3,Yes
Landing Page Submission,Direct Traffic,0,2,1054,2,Email Opened,Unemployed,3,2,3,Yes
API,Organic Search,1,3,195,3,Others,Unemployed,4,2,2,No
Landing Page Submission,Google,1,3,732,3,Email Opened,Working Professional,4,2,3,No
API,Olark Chat,0,7,1130,2.33,Page Visited on Website,Unemployed,3,2,2,Yes
API,Organic Search,0,13,594,4.33,Others,Unemployed,3,2,2,No
API,Others,0,14,354,14,Others,Unemployed,4,2,2,No
API,Google,0,3,217,3,Others,Unemployed,4,2,2,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,2,2,No
API,Direct Traffic,1,5,1837,2.5,Email Opened,Unemployed,5,2,3,No
Landing Page Submission,Direct Traffic,0,1,1226,1,Others,Unemployed,3,2,3,Yes
API,Organic Search,1,2,631,1,Olark Chat Conversation,Unemployed,3,3,2,No
Landing Page Submission,Direct Traffic,1,1,891,1,Others,Other,2,2,3,Yes
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,2,2,No
API,Others,0,3,60,1.5,Page Visited on Website,Unemployed,3,2,2,No
Lead Add Form,Others,1,0,0,0,Email Opened,Unemployed,3,2,2,No
API,Organic Search,0,9,96,4.5,Page Visited on Website,Unemployed,3,2,2,No
Lead Add Form,Others,1,0,0,0,Email Opened,Unemployed,3,2,2,No
API,Others,1,11,825,11,Olark Chat Conversation,Working Professional,2,3,2,No
API,Direct Traffic,0,11,10,5.5,Page Visited on Website,Unemployed,3,1,2,No
API,Organic Search,1,3,1154,1,Olark Chat Conversation,Unemployed,3,3,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Working Professional,4,2,3,No
Landing Page Submission,Others,1,6,104,3,Email Opened,Unemployed,3,2,2,Yes
Landing Page Submission,Google,0,5,294,2.5,Email Opened,Unemployed,3,1,2,No
Landing Page Submission,Google,1,4,228,4,Email Opened,Unemployed,2,2,3,No
Landing Page Submission,Others,0,17,71,3.4,Others,Unemployed,4,2,2,No
Landing Page Submission,Google,0,8,43,8,Olark Chat Conversation,Unemployed,4,2,3,No
Landing Page Submission,Google,0,4,294,4,Email Opened,Unemployed,3,2,3,No
API,Others,0,1,213,1,Others,Unemployed,3,2,2,No
Landing Page Submission,Organic Search,1,4,31,1.33,Email Opened,Working Professional,4,2,3,Yes
Landing Page Submission,Direct Traffic,1,2,526,2,Others,Unemployed,3,2,3,No
Landing Page Submission,Direct Traffic,0,4,174,4,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Organic Search,0,4,12,4,Page Visited on Website,Unemployed,4,2,2,Yes
Landing Page Submission,Direct Traffic,1,5,254,1.25,Email Opened,Unemployed,3,1,3,Yes
Landing Page Submission,Google,1,4,595,4,Page Visited on Website,Unemployed,3,2,3,No
Landing Page Submission,Google,0,11,1189,11,Email Opened,Unemployed,3,2,3,No
Landing Page Submission,Google,0,5,73,5,Email Opened,Unemployed,4,2,2,No
Landing Page Submission,Direct Traffic,0,3,491,3,Email Opened,Working Professional,2,2,3,Yes
API,Google,1,7,1281,1.75,Others,Unemployed,4,2,2,No
API,Organic Search,1,3,117,3,Olark Chat Conversation,Unemployed,4,2,2,No
Landing Page Submission,Google,1,5,263,2.5,Email Opened,Unemployed,4,3,3,No
Landing Page Submission,Google,0,4,67,4,Page Visited on Website,Unemployed,3,2,3,No
API,Others,0,6,866,3,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Organic Search,0,6,419,6,Others,Unemployed,3,2,3,Yes
API,Google,0,2,362,2,Others,Unemployed,3,1,2,No
Landing Page Submission,Google,0,3,199,3,Others,Unemployed,4,1,3,No
API,Google,1,10,556,5,Olark Chat Conversation,Unemployed,4,3,2,No
API,Others,1,5,1536,5,Email Opened,Working Professional,2,2,2,No
API,Google,1,4,1088,4,Page Visited on Website,Working Professional,5,3,3,No
Landing Page Submission,Others,1,6,863,6,Email Opened,Unemployed,2,3,3,Yes
Landing Page Submission,Direct Traffic,0,4,1410,4,Others,Unemployed,3,2,3,No
Landing Page Submission,Direct Traffic,0,6,209,3,Page Visited on Website,Unemployed,3,2,2,Yes
Landing Page Submission,Google,0,5,58,5,Email Opened,Unemployed,3,2,3,No
API,Google,0,6,90,2,Page Visited on Website,Unemployed,3,2,2,No
API,Organic Search,1,7,950,2.33,Email Opened,Unemployed,4,2,2,No
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,2,2,2,No
Landing Page Submission,Direct Traffic,0,4,3,4,Olark Chat Conversation,Unemployed,3,2,2,Yes
Landing Page Submission,Direct Traffic,1,7,901,7,Email Opened,Unemployed,2,3,3,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,2,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,5,2,3,No
API,Google,0,3,445,3,Others,Unemployed,3,1,2,No
Landing Page Submission,Google,0,7,1939,2.33,Email Opened,Unemployed,3,2,3,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,1,2,No
API,Google,0,3,199,1.5,Email Opened,Unemployed,2,1,3,No
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Organic Search,1,21,1113,2.63,Email Opened,Unemployed,2,2,3,Yes
Landing Page Submission,Google,0,2,43,2,Others,Unemployed,3,1,3,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,2,2,No
Lead Add Form,Google,1,0,0,0,Email Opened,Unemployed,5,2,3,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,2,2,No
Lead Add Form,Reference,1,0,0,0,Others,Unemployed,2,2,3,No
Landing Page Submission,Others,1,5,1216,2.5,Email Opened,Working Professional,4,2,2,Yes
Landing Page Submission,Direct Traffic,0,3,35,3,Email Opened,Unemployed,3,2,3,Yes
API,Olark Chat,1,0,0,0,Others,Unemployed,2,3,2,No
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,2,2,No
Landing Page Submission,Google,1,4,1226,4,Email Opened,Unemployed,2,2,3,No
Lead Add Form,Others,1,0,0,0,Email Opened,Unemployed,5,2,3,No
Landing Page Submission,Organic Search,1,4,1378,4,Others,Unemployed,4,2,3,No
API,Others,0,10,66,10,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Google,1,1,214,1,Others,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,3,365,3,Email Opened,Unemployed,3,2,2,Yes
Landing Page Submission,Google,1,6,274,2,Email Opened,Unemployed,4,2,3,No
Landing Page Submission,Google,0,15,753,15,Others,Unemployed,4,2,3,Yes
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,1,2,No
Landing Page Submission,Google,1,9,1289,2.25,Email Opened,Working Professional,5,2,3,Yes
Landing Page Submission,Google,1,5,472,5,Others,Unemployed,4,2,3,Yes
Landing Page Submission,Direct Traffic,1,4,1354,4,Others,Unemployed,4,2,3,Yes
Landing Page Submission,Organic Search,1,5,1102,5,Email Opened,Unemployed,2,2,3,Yes
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,3,3,2,No
API,Google,0,2,1268,2,Email Opened,Unemployed,3,1,2,No
API,Organic Search,1,5,1354,2.5,Email Opened,Unemployed,4,2,2,No
API,Others,1,3,1561,1.5,Others,Unemployed,4,2,2,No
Landing Page Submission,Google,1,10,1128,1.43,Email Opened,Unemployed,5,2,3,Yes
API,Organic Search,1,4,1341,2,Email Opened,Unemployed,1,2,2,No
API,Organic Search,0,2,250,2,Email Opened,Unemployed,4,2,2,No
Landing Page Submission,Direct Traffic,0,2,402,2,Others,Unemployed,3,1,2,No
API,Others,0,1,235,1,Others,Unemployed,3,2,2,No
API,Organic Search,0,6,125,3,Email Opened,Unemployed,3,2,2,No
API,Organic Search,0,2,236,2,Others,Unemployed,3,2,2,No
API,Others,0,9,110,9,Email Opened,Unemployed,3,2,2,No
API,Organic Search,0,7,265,3.5,Others,Unemployed,4,1,2,No
Landing Page Submission,Google,0,7,109,7,Email Opened,Unemployed,4,2,3,No
Landing Page Submission,Google,0,3,98,3,Email Opened,Unemployed,3,2,3,No
API,Google,0,2,339,2,Others,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,3,211,3,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Direct Traffic,1,2,703,2,Email Opened,Unemployed,4,2,3,Yes
Landing Page Submission,Organic Search,0,13,408,6.5,Email Opened,Unemployed,3,3,2,Yes
API,Others,0,11,366,3.67,Email Opened,Unemployed,2,2,2,No
Landing Page Submission,Organic Search,0,5,106,5,Others,Unemployed,3,2,2,No
Landing Page Submission,Google,1,2,1099,2,SMS Sent,Unemployed,4,2,3,No
API,Organic Search,0,11,220,11,Page Visited on Website,Unemployed,4,3,2,Yes
Landing Page Submission,Google,1,8,235,8,Email Opened,Unemployed,2,2,3,No
API,Organic Search,0,7,463,3.5,Others,Unemployed,4,2,2,No
Landing Page Submission,Direct Traffic,0,2,398,2,Email Opened,Unemployed,3,2,2,Yes
API,Organic Search,0,3,623,3,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Google,0,4,281,4,Email Opened,Unemployed,4,2,3,No
Landing Page Submission,Direct Traffic,0,3,46,3,Others,Unemployed,3,3,3,Yes
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,1,2,2,No
Landing Page Submission,Google,1,9,1468,9,Page Visited on Website,Unemployed,2,3,3,No
Landing Page Submission,Organic Search,0,5,615,2.5,Others,Unemployed,3,2,2,Yes
API,Others,0,3,64,3,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,1,2,107,2,Email Opened,Unemployed,4,2,3,No
Landing Page Submission,Google,0,5,663,5,Others,Unemployed,4,2,3,No
Lead Add Form,Reference,1,0,0,0,SMS Sent,Working Professional,4,2,3,No
Lead Add Form,Others,1,0,0,0,SMS Sent,Unemployed,3,2,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Working Professional,5,2,3,No
Lead Add Form,Others,1,0,0,0,Olark Chat Conversation,Unemployed,3,3,2,No
API,Organic Search,0,3,185,3,Others,Unemployed,4,2,2,No
Landing Page Submission,Direct Traffic,0,8,321,4,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Google,1,4,1357,4,SMS Sent,Unemployed,4,2,2,No
Lead Add Form,Reference,1,1,990,1,Page Visited on Website,Other,2,2,3,No
Landing Page Submission,Google,0,3,1412,3,SMS Sent,Unemployed,3,2,3,No
Landing Page Submission,Google,1,4,746,4,Email Opened,Working Professional,2,2,3,No
Lead Add Form,Others,1,0,0,0,SMS Sent,Unemployed,3,2,2,No
Landing Page Submission,Google,1,3,267,3,SMS Sent,Unemployed,4,2,3,No
Landing Page Submission,Organic Search,0,22,59,5.5,Page Visited on Website,Unemployed,3,3,3,Yes
Landing Page Submission,Organic Search,1,5,1250,5,Email Opened,Working Professional,4,2,2,Yes
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,5,2,3,No
Landing Page Submission,Direct Traffic,0,2,2,2,Others,Unemployed,2,1,2,Yes
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,2,2,3,No
Landing Page Submission,Direct Traffic,0,2,183,2,SMS Sent,Unemployed,3,3,2,Yes
API,Olark Chat,0,0,0,0,Olark Chat Conversation,Unemployed,1,1,2,No
Landing Page Submission,Google,0,9,181,3,Page Visited on Website,Unemployed,3,2,3,No
API,Organic Search,0,3,677,1.5,Email Opened,Other,3,2,2,No
API,Olark Chat,1,0,0,0,Olark Chat Conversation,Unemployed,4,3,2,No
API,Olark Chat,0,0,0,0,Others,Unemployed,3,2,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,2,2,3,No
Landing Page Submission,Direct Traffic,1,5,1491,2.5,Email Opened,Working Professional,5,2,3,Yes
Landing Page Submission,Google,0,4,825,4,Email Opened,Unemployed,3,2,3,No
API,Olark Chat,0,0,0,0,Email Opened,Unemployed,1,2,2,No
Landing Page Submission,Google,0,3,110,3,SMS Sent,Unemployed,4,2,3,No
Landing Page Submission,Direct Traffic,1,4,1385,4,Email Opened,Unemployed,4,2,3,Yes
API,Google,1,3,578,3,Email Opened,Working Professional,3,2,2,No
Lead Add Form,Others,1,0,0,0,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,4,439,4,Email Opened,Unemployed,4,2,2,No
Lead Add Form,Reference,1,0,0,0,Email Opened,Unemployed,2,2,2,No
Landing Page Submission,Google,0,3,262,3,Email Opened,Unemployed,3,2,2,No
API,Google,1,4,913,1.33,Email Opened,Unemployed,2,2,2,No
Landing Page Submission,Organic Search,0,4,92,2,Others,Unemployed,3,2,3,Yes
API,Others,0,11,101,5.5,Email Opened,Unemployed,3,2,2,No
Landing Page Submission,Direct Traffic,0,2,1429,2,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Organic Search,0,11,127,3.67,Email Opened,Unemployed,3,2,2,Yes
Landing Page Submission,Google,0,5,362,5,Others,Unemployed,4,1,3,No
Landing Page Submission,Google,0,3,1132,3,Others,Unemployed,4,2,3,No
Landing Page Submission,Direct Traffic,0,5,357,5,Email Opened,Unemployed,3,2,3,Yes
API,Olark Chat,1,0,0,0,Email Opened,Unemployed,4,2,2,No
API,Organic Search,0,3,232,3,Others,Unemployed,3,1,2,No
Landing Page Submission,Organic Search,1,3,829,3,Email Opened,Working Professional,4,2,3,Yes
API,Google,0,8,717,2.67,Email Opened,Unemployed,2,1,2,No
Landing Page Submission,Google,1,3,1208,3,Olark Chat Conversation,Unemployed,4,2,3,No
Landing Page Submission,Direct Traffic,0,3,1577,1.5,Email Opened,Unemployed,3,2,3,Yes
Landing Page Submission,Google,0,4,347,4,Others,Unemployed,3,1,2,No
API,Organic Search,0,7,133,3.5,Email Opened,Unemployed,4,2,2,No
API,Organic Search,0,2,151,2,Email Opened,Unemployed,3,2,2,No
